name;lat;lng;capital
Schiltigheim;48.6078;7.75;
Thonon-les-Bains;46.3627;6.475;minor
Villemomble;48.8833;2.5;
Saint-Mande;48.8422;2.4186;
Pontoise;49.0516;2.1017;
Fresnes;48.755;2.3221;
Clichy-sous-Bois;48.9102;2.5532;
Chatou;48.8897;2.1573;
Roanne;46.0367;4.0689;minor
Ermont;48.9922;2.2603;
Les Mureaux;48.9875;1.9172;
Viry-Chatillon;48.6713;2.375;
Agen;44.2049;0.6212;minor
Fontenay-aux-Roses;48.7893;2.2888;
Villiers-sur-Marne;48.8275;2.5447;
Thiais;48.765;2.3923;
Montigny-le-Bretonneux;48.7711;2.0333;
Gentilly;48.8133;2.3444;
Trappes;48.7775;2.0025;
Vigneux-sur-Seine;48.7001;2.417;
Lens;50.4322;2.8333;minor
Le Chesnay;48.8203;2.1303;
Grigny;48.6562;2.3849;
Saint-Cloud;48.84;2.22;
Goussainville;49.0325;2.4747;
Begles;44.8086;-0.5478;
Vandoeuvre-les-Nancy;48.6567;6.1683;
Ris-Orangis;48.6537;2.4161;
Perigueux;45.1929;0.7217;minor
Montfermeil;48.9;2.5667;
Sotteville-les-Rouen;49.4092;1.09;
Aix-les-Bains;45.6885;5.9153;
Rillieux-la-Pape;45.8214;4.8983;
Lievin;50.4228;2.7786;
Menton;43.775;7.5;
Oullins;45.715;4.8083;
Savigny-le-Temple;48.5841;2.5832;
Bourg-la-Reine;48.7796;2.3151;
Yerres;48.7171;2.4881;
Villiers-le-Bel;49.0094;2.3911;
Les Pavillons-sous-Bois;48.9;2.5;
Sannois;48.9722;2.2578;
Saint-Laurent-du-Var;43.668;7.188;
Lambersart;50.65;3.025;
Limeil-Brevannes;48.7464;2.4883;
Guyancourt;48.7714;2.0739;
Villeneuve-la-Garenne;48.9372;2.3278;
Arcueil;48.8075;2.3361;
Eaubonne;48.9922;2.2806;
Soissons;49.3817;3.3236;minor
Lomme;50.6455;2.9876;
Dieppe;49.92;1.08;minor
Cenon;44.8578;-0.5317;
Saint-Sebastien-sur-Loire;47.2081;-1.5014;
Villeparisis;48.9503;2.6025;
Sucy-en-Brie;48.7697;2.5228;
La Madeleine;50.6558;3.071;
Saint-Gratien;48.9719;2.2828;
Sevres;48.8239;2.2117;
Vallauris;43.5805;7.0538;
Taverny;49.0264;2.2275;
Vichy;46.1278;3.4267;minor
Brunoy;48.6979;2.5044;
Champs-Sur-Marne;48.8529;2.6027;
Armentieres;50.6881;2.8811;
Mons-en-Baroeul;50.6369;3.1103;
Elancourt;48.7847;1.9589;
Le Bouscat;44.8651;-0.5996;
Cormeilles-en-Parisis;48.9739;2.2014;
Orly;48.7439;2.3928;
Le Grand-Quevilly;49.4072;1.0531;
Alencon;48.4306;0.0931;minor
Joinville-le-Pont;48.8214;2.4728;
Deuil-la-Barre;48.9767;2.3272;
Biarritz;43.48;-1.56;
Bethune;50.5303;2.6408;minor
Le Petit-Quevilly;49.4311;1.0539;
Maisons-Laffitte;48.9469;2.1456;
Neuilly-Plaisance;48.8619;2.5064;
Montigny-les-Cormeilles;48.9944;2.1958;
Saint-Ouen-l'Aumone;49.0447;2.1111;
Rodez;44.3506;2.575;minor
Fontaine;45.1939;5.6856;
Chaville;48.8086;2.1886;
Eysines;44.8853;-0.65;
Lormont;44.8792;-0.5217;
Loos;50.6128;3.0144;
Torcy;48.8502;2.6508;minor
Montgeron;48.7039;2.4605;
Croix;50.6781;3.1508;
Montmorency;48.9906;2.3228;
Velizy-Villacoublay;48.7834;2.1834;
Longjumeau;48.6943;2.2958;
Sceaux;48.7786;2.2906;
Sainte-Foy-les-Lyon;45.73;4.8;
Tassin-la-Demi-Lune;45.764;4.78;
Juvisy-sur-Orge;48.6883;2.3775;
Morsang-sur-Orge;48.6618;2.3461;
Montigny-les-Metz;49.1006;6.1539;
Le Mee-sur-Seine;48.5333;2.6289;
Herouville-Saint-Clair;49.2044;-0.3253;
Chevilly-Larue;48.7664;2.3533;
Le Plessis-Trevise;48.8111;2.5717;
Castelnau-le-Lez;43.6369;3.9019;
Saint-Pol-sur-Mer;51.0314;2.3439;
Garches;48.8456;2.1869;
La Celle-Saint-Cloud;48.8411;2.1344;
Saint-Michel-sur-Orge;48.6325;2.3028;
Dammarie-le-Lys;48.5177;2.6402;
Villeneuve-le-Roi;48.7333;2.4167;
Mantes-la-Ville;48.975;1.7117;
Saint-Maurice;48.8183;2.4347;
Hellemmes-Lille;50.6283;3.11;
Wasquehal;50.6694;3.1308;
Acheres;48.9602;2.0684;
Le Bourget;48.9344;2.4244;
Saint-Cyr-l'Ecole;48.8003;2.0625;
Nogent-sur-Oise;49.2756;2.4683;
Montereau-faut-Yonne;48.3853;2.9508;
Chilly-Mazarin;48.7025;2.3125;
Lingolsheim;48.5575;7.6831;
Coudekerque-Branche;51.0253;2.3917;
Fleury-les-Aubrais;47.9312;1.921;
Ronchin;50.6047;3.0878;
Saint-Fons;45.7086;4.8533;
Soisy-sous-Montmorency;48.9878;2.2997;
Bry-sur-Marne;48.8411;2.5222;
Eragny;49.0172;2.0914;
Cran-Gevrier;45.9036;6.1039;
Faches-Thumesnil;50.5989;3.0736;
Chamalieres;45.7736;3.0669;
Moulins;46.5647;3.3325;minor
Mont-Saint-Aignan;49.4625;1.0872;
Chennevieres-sur-Marne;48.7983;2.5339;
Viroflay;48.8;2.1722;
Le Pecq;48.8967;2.1061;
Bonneuil-sur-Marne;48.7742;2.4875;
Vaureal;49.03;2.0214;
Bischheim;48.6139;7.7519;
Le Raincy;48.8992;2.5231;minor
Ecully;45.7744;4.7775;
Les Clayes-sous-Bois;48.8206;1.9836;
Floirac;44.8364;-0.5258;
Maurepas;48.7628;1.9456;
